State,School District,District ID,Year,PctBW,AIAN,Asian,API,Asian,HiPIs,Hisp,Black,White,2MoRac,Total,LEP
CA,Coalinga-Huron Joint Unified,609120,2009,10.50%,50.00%,15.80%,0.00%,16.70%,0.00%,21.40%,25.00%,14.50%,0.00%,20.10%,23.80%
CA,Colton Joint Unified,609390,2009,6.20%,4.30%,2.30%,2.30%,0.00%,0.00%,5.50%,10.70%,4.60%,0.00%,5.70%,3.30%
CA,Columbia Elementary,609450,2009,-4.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.90%,0.00%,4.50%,0.00%
CA,Compton Unified School District,609620,2009,-1.80%,0.00%,11.10%,0.00%,0.00%,12.50%,9.00%,23.20%,25.00%,0.70%,11.60%,10.00%
CA,Conejo Valley Unified,609640,2009,6.50%,0.00%,1.40%,0.00%,1.10%,3.30%,8.20%,9.90%,3.30%,2.90%,4.20%,7.60%
CA,Corcoran Joint Unified,609690,2009,9.40%,0.00%,20.00%,20.00%,0.00%,0.00%,19.40%,26.90%,17.50%,0.00%,19.80%,15.30%
CA,Corning Union High,609810,2009,-16.80%,25.00%,0.00%,0.00%,0.00%,0.00%,16.30%,0.00%,16.80%,0.00%,16.10%,8.10%
CA,Coronado Unified,609870,2009,5.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,7.10%,1.40%,0.00%,1.50%,0.00%
CA,Corona-Norco Unified School District,609850,2009,3.90%,6.30%,1.80%,1.80%,0.00%,0.00%,5.70%,7.40%,3.40%,0.00%,4.70%,6.00%
CA,Cotati-Rohnert Park Unified,609940,2009,12.80%,27.30%,6.50%,0.00%,5.90%,11.10%,9.50%,22.60%,9.80%,10.20%,10.10%,8.30%
CA,Covina-Valley Unified,610050,2009,9.00%,10.00%,1.90%,0.00%,1.60%,8.30%,8.60%,16.50%,7.50%,0.00%,8.30%,0.50%
CA,Cucamonga Elementary,616300,2009,9.80%,0.00%,6.90%,0.00%,4.20%,20.00%,7.70%,17.10%,7.40%,0.00%,7.60%,0.00%
CA,Culver City Unified,610260,2009,2.30%,8.30%,1.50%,0.00%,1.90%,0.00%,4.60%,7.30%,5.00%,0.00%,5.00%,4.50%
CA,Cupertino Union School,610290,2009,2.30%,0.00%,1.10%,0.00%,1.10%,0.00%,5.60%,4.90%,2.60%,0.00%,1.70%,2.70%
CA,Cutler-Orosi Joint Unified,610350,2009,-12.50%,0.00%,7.90%,0.00%,8.10%,0.00%,10.70%,0.00%,12.50%,0.00%,10.70%,11.40%
CA,Cypress Elementary,610440,2009,2.00%,0.00%,0.40%,0.00%,0.40%,0.00%,1.40%,3.30%,1.30%,0.00%,1.00%,0.00%
CA,Davis Joint Unified,610620,2009,9.30%,0.00%,1.50%,0.00%,1.50%,0.00%,5.60%,12.20%,2.90%,0.00%,3.20%,2.20%
CA,Del Mar Union Elementary,610740,2009,-0.40%,0.00%,0.40%,0.00%,0.40%,0.00%,0.00%,0.00%,0.40%,0.00%,0.40%,1.40%
CA,Del Norte County Unified,610770,2009,-13.50%,17.50%,6.90%,6.90%,0.00%,0.00%,8.70%,0.00%,13.50%,0.00%,13.40%,5.10%
CA,Delano Joint Union High,610860,2009,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.90%,0.00%,0.00%,0.00%,1.80%,1.60%
CA,Delano Union Elementary,610890,2009,3.10%,0.00%,2.70%,0.00%,2.70%,0.00%,6.70%,11.10%,8.00%,0.00%,6.30%,7.20%
CA,Denair Unified School District,611040,2009,-5.50%,0.00%,0.00%,0.00%,0.00%,0.00%,6.30%,0.00%,5.50%,0.00%,5.60%,3.10%
CA,Desert Sands Unified,611110,2009,8.50%,7.10%,3.00%,3.00%,0.00%,0.00%,9.90%,15.10%,6.60%,0.00%,9.00%,2.60%
CA,Dinuba Unified,600065,2009,9.30%,0.00%,0.00%,0.00%,0.00%,0.00%,8.80%,16.70%,7.40%,0.00%,8.60%,8.00%
CA,Dixon Unified,611280,2009,-2.70%,0.00%,0.00%,0.00%,0.00%,0.00%,4.30%,4.00%,6.70%,0.00%,5.40%,0.00%
CA,Dos Palos Oro Loma Jt. Unified,600033,2009,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.60%,23.50%,20.50%,0.00%,16.60%,15.10%
CA,Downey Unified,611460,2009,8.60%,0.00%,1.10%,1.10%,0.00%,0.00%,5.90%,14.60%,5.90%,0.00%,6.00%,6.30%
CA,Dry Creek Joint Elementary,611490,2009,5.50%,0.00%,2.70%,0.00%,1.70%,20.00%,5.80%,10.00%,4.50%,0.00%,4.90%,6.50%
CA,Duarte Unified,611520,2009,10.60%,0.00%,0.00%,0.00%,0.00%,0.00%,6.80%,15.70%,5.10%,0.00%,6.80%,5.20%
CA,Dublin Unified,600019,2009,4.00%,0.00%,1.20%,1.20%,0.00%,0.00%,5.10%,8.00%,4.00%,0.00%,3.70%,2.00%
CA,Dunsmuir Joint Union High,611700,2009,-29.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29.40%,0.00%,25.00%,0.00%
CA,East Side Union High,611820,2009,9.10%,20.00%,2.90%,2.90%,0.00%,0.00%,15.40%,18.20%,9.10%,0.00%,9.80%,15.20%
CA,East Whittier City Elementary,611850,2009,3.80%,14.30%,4.30%,0.00%,2.80%,9.10%,4.40%,7.70%,3.90%,0.00%,4.60%,4.00%
CA,Eastside Union Elementary,611910,2009,11.40%,0.00%,0.00%,0.00%,0.00%,0.00%,5.60%,21.80%,10.50%,0.00%,10.70%,0.00%
CA,Edison Elementary,611940,2009,17.60%,0.00%,0.00%,0.00%,0.00%,0.00%,4.50%,20.00%,2.40%,0.00%,3.20%,2.40%
CA,El Centro Elementary,612030,2009,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.10%,4.80%,1.80%,0.00%,3.30%,6.40%
CA,El Dorado Union High School District,612070,2009,15.90%,25.00%,2.90%,2.90%,0.00%,0.00%,19.30%,27.80%,11.90%,0.00%,12.90%,33.30%
CA,El Monte City Elementary,612090,2009,9.50%,0.00%,0.60%,0.00%,0.60%,0.00%,3.50%,11.10%,1.60%,0.00%,3.00%,2.40%
CA,El Monte Union High,612120,2009,9.20%,0.00%,2.20%,0.00%,2.30%,0.00%,5.50%,11.10%,1.90%,0.00%,4.90%,5.30%
CA,El Rancho Unified,612180,2009,-12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,8.00%,0.00%,12.50%,0.00%,8.20%,7.70%
CA,El Segundo Unified,612210,2009,3.80%,0.00%,1.30%,1.30%,0.00%,0.00%,3.30%,6.30%,2.50%,0.00%,3.10%,0.00%
CA,Elk Grove Unified,612330,2009,13.40%,13.30%,3.70%,0.00%,3.40%,7.60%,9.70%,19.80%,6.40%,8.00%,9.20%,6.30%
CA,Empire Union Elementary,612690,2009,8.90%,20.00%,2.40%,0.00%,0.00%,9.10%,5.20%,16.70%,7.80%,0.00%,6.70%,0.00%
CA,Encinitas Union Elementary,612750,2009,-0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.80%,0.00%,0.80%,0.80%
CA,Enterprise Elementary,612810,2009,6.20%,14.30%,1.80%,0.00%,2.10%,0.00%,4.50%,14.80%,8.60%,0.00%,7.60%,1.90%
CA,Escalon Unified,612840,2009,-8.30%,0.00%,0.00%,0.00%,0.00%,0.00%,9.20%,0.00%,8.30%,0.00%,8.90%,2.80%
CA,Escondido Union Elementary,612880,2009,5.00%,5.30%,2.00%,0.00%,1.10%,8.30%,6.60%,8.20%,3.20%,8.70%,5.70%,6.10%
CA,Escondido Union High,612910,2009,24.50%,18.20%,5.40%,5.40%,0.00%,0.00%,18.70%,32.60%,8.20%,0.00%,15.30%,29.50%
CA,Etiwanda Elementary,612960,2009,2.60%,20.00%,0.60%,0.00%,0.30%,10.00%,1.90%,4.30%,1.70%,0.00%,2.00%,1.80%
CA,Eureka City Unified,600052,2009,5.30%,14.30%,1.10%,1.10%,0.00%,0.00%,8.90%,13.30%,8.00%,0.00%,8.20%,0.00%
CA,Eureka Union,613080,2009,-0.90%,0.00%,1.50%,0.00%,1.50%,0.00%,0.00%,0.00%,0.90%,0.00%,1.10%,0.00%
